title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Four Paw,+61 7 3369 5175,4.7,78,"Red Hill QLD, Australia",3496,http://www.fourpaw.com.au/,No Available,No Available,No Available,No Available,
The Grooming Salon,+61 447 970 555,4.6,104,"Greenslopes QLD, Australia",4120,http://www.thegroomingsalon.com.au/,https://www.facebook.com/tr,No Available,No Available,No Available,
KOOHIKI Spa & Pets Grooming Salon,+61 7 3162 9637,4.7,95,"Runcorn QLD, Australia",4113,http://koohiki.com.au/,https://www.facebook.com/koohikipetsalon,No Available,https://www.instagram.com/koohikipetgroomingsalon,No Available,"koohikipetsalon@gmail.com, koohikipetsalon@gmail.com, koohikipetsalon@gmail.com, koohikipetsalon@gmail.com"
Paws On Logan,+61 432 563 880,4.8,40,"Greenslopes QLD, Australia",4120,https://www.facebook.com/pawsonlytton/,https://www.facebook.com/pawsonlytton,No Available,No Available,No Available,
Little Dog Studio,+61 423 370 341,4.9,53,"Nundah QLD, Australia",4012,http://www.littledogstudio.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/littledogstudiobrisbane,No Available,"elyse@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au, info@littledogstudio.com.au"
Friends with Fur - Cannon Hill,+61 7 3393 9351,4.4,90,"Cannon Hill QLD, Australia",4170,http://www.friendswithfur.com.au/,https://www.facebook.com/tr,No Available,No Available,No Available,shop@friendswithfur.com.au
Mr Teddy Bear,--Not Provided--,4.5,132,"Bowen Hills QLD, Australia",4805,http://www.mrteddybear.com.au/,https://www.facebook.com/mrteddybearau,No Available,https://www.instagram.com/mrteddybearau,No Available,"info@mrteddybear.com.au, info@mrteddybear.com.au"
All Fur Love Mobile Pet Care,+61 422 422 404,4.3,41,--Not Provided--,-,http://www.allfurlove.com.au/,https://www.facebook.com/allfurlovemobilepetcareaustralia,No Available,https://www.instagram.com/allfurlove,No Available,
Doggy Day Care Brisbane,--Not Provided--,4.6,75,"South Brisbane QLD, Australia",3205,http://www.doggydaycarebrisbane.com.au/,https://www.facebook.com/DDCBrisbane,No Available,https://www.instagram.com/doggydaycarebrisbane,No Available,"admin@doggydaycarebrisbane.com.au, admin@doggydaycarebrisbane.com.au"
The Laundromutt Dog Grooming,+61 405 991 001,4.7,24,--Not Provided--,-,http://www.thelaundromutt.dog/,No Available,No Available,No Available,No Available,
Mr Potts dog grooming,+61 439 691 307,4.9,88,"Albion QLD, Australia",2527,http://www.mrpottsgrooming.com/,http://www.facebook.com/2008,No Available,No Available,No Available,"mrpottsgrooming@gmail.com, mrpottsgrooming@gmail.com"
Aussie Pooch Mobile Dog Wash Keperra,+61 1300 369 369,5.0,24,--Not Provided--,-,https://www.aussiepm.com.au/dog-wash-grooming/keperra,https://www.facebook.com/aussiepoochmobile,No Available,https://www.instagram.com/aussiepoochofficial,https://www.youtube.com/channel/UCYCJoaASFIH1O5qLgxqM6zQ/videos,
A & S Dog Grooming,+61 421 574 524,4.4,59,"Carseldine QLD, Australia",4034,https://a-s-dog-grooming.business.site/?utm_source=gmb&utm_medium=referral,https://www.facebook.com/aandsdoggrooming,No Available,No Available,No Available,
Bella & Beau Dog Grooming Boutique,+61 7 3172 5172,4.5,34,"Acacia Ridge QLD, Australia",4110,http://www.bellabeaugrooming.com.au/,No Available,No Available,No Available,No Available,email@example.com
Chuppi Dog Grooming,+61 481 268 095,4.9,38,"Everton Park QLD, Australia",4053,http://chuppi.com/,No Available,No Available,No Available,No Available,
