title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Kloud9Pet,+61 423 069 067,4.5,111,"South Melbourne VIC, Australia",3205,http://kloud9pet.com.au/?nocache=1,http://www.facebook.com/2008,No Available,https://www.instagram.com/kloud9pet,No Available,
Ange Pet Salon Port Melbourne,+61 3 9646 5150,4.3,115,"Port Melbourne VIC, Australia",3207,http://www.murphyspaw.com.au/,https://www.facebook.com/murphyspawgrooming,No Available,https://www.instagram.com/murphyspawgrooming,No Available,
She Walks,--Not Provided--,5.0,45,--Not Provided--,-,https://shewalks.com.au/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,https://www.facebook.com/shewalksdogwalker,No Available,https://www.instagram.com/shewalksmelbourne,https://www.youtube.com/channel/UCEF6AicMk1zOQXZ5hge9zHw,
John Paul Pooches,+61 449 588 247,5.0,29,"South Melbourne VIC, Australia",3205,https://johnpaulpooches.com.au/,No Available,No Available,No Available,No Available,
Hachi & Co - Melbourne City | Dog Grooming,--Not Provided--,4.9,20,"Melbourne VIC, Australia",3002,http://www.hachiandco.com.au/,https://www.facebook.com/hachiandcomelbourne,No Available,https://www.instagram.com/hachi,No Available,
Groom-me by Lisa-Marie,+61 3 9939 1079,4.5,139,"St Kilda VIC, Australia",3021,http://www.groom-me.com.au/,https://www.facebook.com/Groom,No Available,https://www.instagram.com/doggroomme,No Available,
Foxy's Mobile Dog Washing & Grooming Service,+61 407 965 085,4.0,30,--Not Provided--,-,http://foxysmobiledogwash.com.au/,https://www.facebook.com/Foxys,No Available,No Available,No Available,
Top 2 Tail,+61 448 178 381,4.4,72,"Murrumbeena VIC, Australia",3163,http://www.top2tailmelbourne.com/,https://www.facebook.com/Top2Tail,No Available,https://www.instagram.com/top2tail,No Available,info@top2tailmelbourne.com
Shaggy Doo Mobile Dog Grooming,+61 421 178 517,5.0,39,"St Kilda East VIC, Australia",3021,http://www.shaggydoo.com.au/,No Available,No Available,No Available,No Available,
Pinup Pooch Dog Grooming,+61 421 804 547,5.0,41,"Collingwood VIC, Australia",3066,https://www.facebook.com/Pinup-Pooch-Dog-Grooming-503615656437411/,https://www.facebook.com/people,No Available,No Available,No Available,
Sandy Paws Dog Grooming Reservoir | Dog grooming near Preston | Thomastown | Bundoora,+61 3 8590 8901,4.9,136,"Reservoir VIC, Australia",3073,https://sandypaws3073.square.site/,No Available,No Available,No Available,No Available,hi@mystore.com
Petiquette by Caroline 🐕 Dog Grooming & Wash,+61 452 056 723,4.6,130,"Elwood VIC, Australia",3184,https://www.petiquettebycaroline.com.au/,https://www.facebook.com/petiquettebycaroline,No Available,https://www.instagram.com/petiquettebycaroline,No Available,
Wen's Dog Grooming Salon,+61 3 8528 3422,4.2,75,"Malvern VIC, Australia",3144,https://www.wensdoggrooming.com/,https://www.facebook.com/wensdoggroomingsalon,No Available,No Available,No Available,"wensdoggrooming@gmail.com, wensdoggrooming@gmail.com, wensdoggrooming@gmail.com, wensdoggrooming@gmail.com"
Crackin Dog Grooming,+61 490 410 839,4.6,65,"Ascot Vale VIC, Australia",3032,http://www.crackindoggrooming.com.au/,https://www.facebook.com/crackindoggrooming,No Available,No Available,No Available,
Ange Pet Salon St Kilda,+61 422 681 955,4.7,28,"St Kilda VIC, Australia",3021,https://www.alphapet.com.au/pet-grooming-services/,https://www.facebook.com/alphapet,No Available,https://www.instagram.com/alphapet,https://www.youtube.com/channel/UCsu2zkxnnyCYtJ_d4unWu6w,"stkilda@alphapet.com.au, stkilda@alphapet.com.au"
My Fluffy Dog Grooming Services,+61 499 310 013,5.0,31,"Richmond VIC, Australia",3121,http://www.myfluffydog.com/,No Available,No Available,No Available,No Available,
Pretty Kitty!,+61 3 9489 4334,4.9,143,"Northcote VIC, Australia",3070,https://www.prettykittyvic.com.au/,No Available,No Available,No Available,No Available,"kristy@prettykittyvic.com.au, kristy@prettykittyvic.com.au"
Superb Dog Grooming,+61 406 298 111,4.9,221,"Wheelers Hill VIC, Australia",3150,http://www.superbgrooming.com.au/,No Available,No Available,No Available,No Available,"info@superbdoggrooming.com.au, info@superbdoggrooming.com.au, info@superbdoggrooming.com.au, info@superbdoggrooming.com.au"
P2 Pets ( Dog & Cat Grooming ),+61 451 229 274,4.7,69,"Caulfield North VIC, Australia",3161,http://www.p2pets.com.au/,No Available,No Available,No Available,No Available,"info@p2pets.com.au, info@p2pets.com.au, info@p2pets.com.au, mllegeorgesand@gmail.com"
Western Dogwash,+61 409 806 121,4.1,26,--Not Provided--,-,http://westerndogwash.com.au/,No Available,No Available,No Available,No Available,
Tani's Mobile Doggy Wash,+61 434 256 817,4.3,53,--Not Provided--,-,http://www.tanismobiledoggywash.com.au/,https://www.facebook.com/Tanismobiledoggywash,No Available,https://www.instagram.com/tanismobiledoggywash,No Available,
