title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Pawdressers Dog Grooming,+61 429 901 504,5.0,82,"Darlinghurst NSW, Australia",2010,http://www.pawdressers.com.au/,https://www.facebook.com/pawdressers,No Available,https://www.instagram.com/pawdressers,No Available,support@schedulista.com
Newtown Sakura la Dog Grooming Salon,+61 2 9557 4861,4.6,146,"Newtown NSW, Australia",3220,http://www.sakuralagrooming.com/,http://www.facebook.com/2008,No Available,No Available,No Available,
Flawless Paws Pet Grooming,+61 468 460 234,5.0,100,"Potts Point NSW, Australia",2011,https://www.flawlesspaws.com.au/,https://www.facebook.com/flawlesspaws,No Available,https://www.instagram.com/flawlesspaws,No Available,"info@flawlesspaws.com.au, info@flawlesspaws.com.au"
NOSE PET GROOMING Sydney,+61 2 8399 3138,4.8,39,"Surry Hills NSW, Australia",2010,http://www.nosesyd.com/,No Available,No Available,No Available,https://www.youtube.com/channel/UCm7RSXM_zA-DM47mcfY49Dg,
Spoilt Rotten Dogs,--Not Provided--,4.6,123,"Lilyfield NSW, Australia",2040,https://www.spoiltrottendogs.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/p,No Available,"info@spoiltrottendogs.com.au, user@domain.com, info@spoiltrottendogs.com.au, info@spoiltrottendogs.com.au, info@spoiltrottendogs.com.au"
Puppy Square,+61 416 922 345,4.7,75,"Queens Park NSW, Australia",2022,http://www.puppysquare.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/sydneypuppysquare,No Available,info@puppysquare.com.au
Fuzzy Monsters Pet Boutique & Salon,+61 426 110 322,4.6,47,"Chippendale NSW, Australia",2008,https://fuzzy-monsters-pet-boutique-salon.business.site/?utm_source=gmb&utm_medium=referral,No Available,No Available,No Available,No Available,
Hachi Sydney,+61 2 7202 9233,4.7,34,"Haymarket NSW, Australia",2000,http://www.hachi-sydney.com.au/,No Available,No Available,No Available,No Available,
Hair of the Dog,+61 433 835 106,4.4,64,"Newtown NSW, Australia",3220,https://www.hairofthedog.net.au/,https://www.facebook.com/profile,No Available,https://www.instagram.com/studiowoofwoof,No Available,
Pepper & Murphy's Dog Grooming Salon,+61 450 728 505,4.9,84,"Marrickville NSW, Australia",2204,http://www.pepperandmurphys.com/,https://www.facebook.com/pepperandmurphys,No Available,https://www.instagram.com/pepperandmurphys,No Available,info@pepperandmurphys.com
SYDNEY DOG CLUB PTY LTD,+61 432 184 302,4.9,45,"Paddington NSW, Australia",4064,http://www.thedogclub.com.au/,No Available,No Available,No Available,No Available,"info@thedogclub.com.au, hi@mystore.com, hi@mystore.com, hi@mystore.com"
Hot Dog Cool Cat Pet Salon,+61 2 9058 8566,4.5,78,"Erskineville NSW, Australia",2043,http://www.hotdogcoolcat.com.au/,https://www.facebook.com/1596857307050771,No Available,No Available,No Available,info@hotdogcoolcat.com.au
Dainty Dog grooming salon,+61 414 889 128,4.0,99,"Bexley NSW, Australia",2207,https://daintydog.com.au/,No Available,No Available,No Available,No Available,
Hills Grooming and Georgie's Play Park,+61 2 9688 6685,4.7,145,"Bella Vista NSW, Australia",2153,http://www.hillsgrooming.com.au/,https://www.facebook.com/HillsGroomingAndPetSupplies,No Available,https://www.instagram.com/hillsgrooming,No Available,
Dog de Miow Potts Point,+61 404 127 576,4.8,53,"Potts Point NSW, Australia",2011,http://www.dogdemiow.com.au/,https://www.facebook.com/dogdemiow,No Available,https://www.instagram.com/dogdemiow,No Available,dogdemiow@gmail.com
Darlo Dogs,--Not Provided--,4.8,116,"Darlinghurst NSW, Australia",2010,http://www.darlodogs.com.au/,https://www.facebook.com/darlodogs,No Available,https://www.instagram.com/darlo,No Available,"dee@darlodogs.com.au, dee@darlodogs.com.au"
Sparkling Paws Dog Grooming,+61 416 538 695,4.7,93,--Not Provided--,-,http://www.facebook.com/sparklingpaws,https://www.facebook.com/sparklingpaws,No Available,No Available,No Available,
Bloomingtails,+61 1300 282 457,4.9,122,"Artarmon NSW, Australia",1570,http://www.bloomingtailsgrooming.com.au/,No Available,No Available,No Available,No Available,bookingsatbloomingtails@gmail.com
Puppy Avenue,+61 410 703 415,4.6,36,"Sydney Olympic Park NSW, Australia",2060,https://www.instagram.com/puppyavenue_olypk/,No Available,No Available,No Available,No Available,
Bath to Bow Dog Groomer,+61 2 8021 7626,4.7,114,"Rosebery NSW, Australia",2018,http://www.bathtobow.com.au/,https://www.facebook.com/bathtobow,No Available,https://www.instagram.com/bathtobow,No Available,"bathtobow@gmail.com, bathtobow@gmail.com"
Sunny Dogs Salon,+61 402 635 186,4.6,65,"Mascot NSW, Australia",2020,http://sunnydogssalon.com.au/,https://www.facebook.com/sunnydogssalonsydney,No Available,https://www.instagram.com/sunnydogssalon,https://www.youtube.com/embed/LJV6CF5RU_c,info@sunnydogssalon.com.au
Doggy Splash,+61 2 7900 8057,4.6,71,"St Peters NSW, Australia",3021,http://www.doggysplash.com.au/,http://www.facebook.com/doggysplash,No Available,No Available,No Available,
Maru Maru Pet Services,+61 2 9568 2088,4.7,118,"Stanmore NSW, Australia",4514,http://www.marumarupets.com.au/,http://www.facebook.com/marumarupets,No Available,https://www.instagram.com/marumarupets,No Available,
PAWFECT DOGGY DAY SPA,+61 2 8592 6668,4.8,41,"Balmain NSW, Australia",2041,http://www.pawfectdoggydayspa.com.au/,https://www.facebook.com/pawfectdoggydayspa,No Available,https://www.instagram.com/pawfectdoggydayspa,No Available,"contact@pawfectdoggydayspa.com.au, example@mail.com, contact@pawfectdoggydayspa.com.au"
Barker Ark,+61 2 8068 4286,4.8,85,"Waterloo NSW, Australia",2017,http://www.barkerark.com.au/,http://www.facebook.com/wix,No Available,No Available,No Available,"hello@barkerark.com.au, hello@barkerark.com.au"
PatPal Dog Grooming,+61 432 173 330,4.7,67,"North Willoughby NSW, Australia",3978,http://www.patpaldoggrooming.com/,https://www.facebook.com/patpal,No Available,No Available,No Available,"info@patpaldoggrooming.com, info@patpaldoggrooming.com"
Drools Dog Grooming & Day Care,+61 2 9587 2574,4.8,63,"Kogarah NSW, Australia",2217,http://www.droolsgrooming.com.au/,http://www.facebook.com/droolsgrooming,No Available,http://www.instagram.com/droolsgrooming,No Available,"droolsgrooming@gmail.com, droolsgrooming@gmail.com, droolsgrooming@gmail.com, droolsgrooming@gmail.com"
Puppuccino Pet Spa Waterloo (Previous Pet Palette Studio),+61 2 8861 5725,4.6,44,"Waterloo NSW, Australia",2017,https://www.puppuccino.com.au/,No Available,No Available,https://www.instagram.com/puppuccinopetspa,No Available,
Dogs Empire Grooming Service,+61 2 8021 7240,4.3,45,"Coogee NSW, Australia",6166,http://dogsempire.com.au/,http://www.facebook.com/DogsEmpireCoogee,No Available,No Available,http://www.youtube.com/dogsempirecoogee,
Qpet Rosebery,+61 2 8313 8988,4.6,101,"Rosebery NSW, Australia",2018,http://qpet.com.au/,https://www.facebook.com/Qpetfamily,No Available,https://www.instagram.com/qpetfamily,No Available,
Lovely Pets Grooming Salon,+61 449 686 810,4.4,68,"Penshurst NSW, Australia",2222,http://www.lovelypets.com.au/,https://www.facebook.com/Lovelypets,No Available,No Available,No Available,"lovelypetsnsw@gmail.com, lovelypetsnsw@gmail.com, lovelypetsnsw@gmail.com, lovelypetsnsw@gmail.com"
Happy Paws Pethouse Chatswood,+61 2 8959 0142,4.7,85,"Sydney NSW, Australia",2060,https://happypawspethouse.com/,No Available,No Available,No Available,No Available,
A‎ Dapper Dog Grooming Parlour,+61 408 601 687,4.7,70,"Maroubra NSW, Australia",2035,http://www.adapperdog.com.au/,No Available,No Available,No Available,No Available,
Dogs @ Play,--Not Provided--,4.6,155,"Surry Hills NSW, Australia",2010,http://dogsplay.com.au/,https://www.facebook.com/dogsatplay,No Available,No Available,No Available,"info@dogsplay.com.au, info@dogsplay.com.au"
Pawsum,+61 1300 671 774,4.5,79,"Leichhardt NSW, Australia",4305,http://pawsum.com.au/,https://www.facebook.com/pawsumsydney,No Available,https://www.instagram.com/pawsumsydney,No Available,"info@pawsum.com.au, info@pawsum.com.au, info@pawsum.com.au, info@pawsum.com.au"
"Scruffy's Doggy Day Care, Grooming and Training",+61 2 9939 8899,4.7,65,"Brookvale NSW, Australia",2100,https://www.scruffys.com.au/,https://www.facebook.com/2008,No Available,https://www.instagram.com/scruffysdogs,https://www.youtube.com/user/ScoobyDoozbrookvale,"bookings@scruffys.com.au, bookings@scruffys.com.au, bookings@scruffys.com.au, bookings@scruffys.com.au, bookings@scruffys.com.au, bookings@scruffys.com.au, bookings@scruffys.com.au"
