title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Best Friend Dog Care,+61 401 615 437,5,43,--Not Provided--,-,https://bestfrienddogcare.com.au/,https://www.facebook.com/bfdogcare,No Available,https://www.instagram.com/bestfrienddogcare,https://www.youtube.com/channel/UCIo4dxed-jCyodtysZF5Nwg,"email@email.com, admin@bestfrienddogcare.com.au"
Sherlock Bones,+61 433 364 364,4.7,14,--Not Provided--,-,http://www.sherlockbones.com.au/,No Available,No Available,No Available,No Available,
Advance Behavioural Training,+61 431 301 118,4.8,170,"Athol Park SA, Australia",2560,http://www.advancebehaviouraltraining.com.au/,https://www.facebook.com/tr,No Available,https://www.instagram.com/advancebehaviouraltraining,No Available,"info@abtdogcentre.com.au, info@abtdogcentre.com.au"
Canine Connect,--Not Provided--,4.5,71,"Adelaide SA, Australia",5006,http://www.canineconnect.com.au/,https://www.facebook.com/CanineConnectAustralia,No Available,https://www.instagram.com/canineconnectoz,https://www.youtube.com/channel/UCFbE0m1YHT7R_M6O4MvVrGQ,"training@canineconnect.com.au, training@canineconnect.com.au"
Beyond Dogs,+61 435 311 535,5,22,"Plympton Park SA, Australia",5038,https://www.beyonddogs.au/,https://www.facebook.com/beyonddogs,No Available,https://www.instagram.com/beyond,No Available,"info@beyonddogs.au, info@beyonddogs.au"
Simple Steps Dog Training Adelaide,--Not Provided--,5,10,--Not Provided--,-,http://www.simplestepsdogtraining.com/,No Available,No Available,No Available,No Available,
Southern Districts Kennel and Obedience Dog Club,+61 8 8386 1933,4.7,83,"Goodwood SA, Australia",7010,https://www.sdkodc.com/,https://www.facebook.com/groups,No Available,No Available,No Available,
OzcorpK9,+61 404 752 187,4.8,51,--Not Provided--,-,http://www.ozcorpk9.com.au/,https://www.facebook.com/OZCORPK9,No Available,https://www.instagram.com/ozcorpk9,No Available,"support@schedulista.com, Inquiries@ozcorpk9.com.au, Inquiries@ozcorpk9.com.au"
Northern Districts Kennel & Obedience Club,+61 8 8380 9866,4.4,23,"Elizabeth Downs SA, Australia",5112,https://www.facebook.com/Northern-Districts-Kennel-and-Obedience-Club-Inc-176375715722638/,https://www.facebook.com/people,No Available,No Available,No Available,
Dog Knows Training and Behaviour Consulting,+61 414 446 878,5,5,--Not Provided--,-,http://www.dogknows.com.au/,https://www.facebook.com/Dog,No Available,https://www.instagram.com/dogknowstraining,No Available,
Canine Behavioural School,+61 481 395 337,5,14,"Felixstow SA, Australia",5070,https://www.caninebehaviouralschool.com.au/,https://www.facebook.com/caninebehaviouralschool,No Available,https://www.instagram.com/caninebehaviouralschool,No Available,
Puppy Matters Co,+61 410 959 673,5,22,--Not Provided--,-,http://www.puppymattersco.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/puppymattersco,No Available,"hello@puppymattersco.com.au, privacy@email.com.au, hello@puppymattersco.com.au, hello@puppymattersco.com.au, user@domain.com"
Direct K9 Adelaide,+61 451 824 278,5,16,--Not Provided--,-,https://directk9.com.au/,https://www.facebook.com/DirectK9,No Available,No Available,No Available,"info@directk9.com.au, info@directk9.com.au, info@directk9.com.au, info@directk9.com.au"
Woodville Community Dog Training Centre Inc,+61 429 185 385,4,23,"Woodville South SA, Australia",5011,http://woodvilledogtraining.com.au/,https://www.facebook.com/wcdtc,No Available,No Available,No Available,"info@woodvilledogtraining.com.au, president@woodvilledogtraining.com.au, president@woodvilledogtraining.com.au, info@woodvilledogtraining.com.au"
Pawsitive Training,--Not Provided--,5,27,"Bowden SA, Australia",5007,http://www.pawsitive-training.net/,https://www.facebook.com/pawsitivetrainingadelaide,No Available,No Available,No Available,pawsitive-training@hotmail.com
Forward Thinking Dog Training and Mobility,+61 491 757 837,5,6,--Not Provided--,-,http://www.forwardthinkingdogtraining.com.au/,No Available,No Available,No Available,No Available,
Adelaide K9 Services,+61 413 067 769,5,9,"Walkerville SA, Australia",5081,http://www.adelaidek9.com.au/,No Available,No Available,No Available,No Available,"scott@adelaidek9.com.au, scott@adelaidek9.com.au"
South Australian Obedience Dog Club,+61 8 8223 6626,4.5,34,"South Parklands SA, Australia",3205,https://www.saobediencedogclub.com.au/,https://www.facebook.com/SAODCInc,No Available,No Available,No Available,
Port Adelaide Obedience Dog Club Inc.,+61 408 854 990,4.4,14,--Not Provided--,-,http://www.paodc.com.au/,https://www.facebook.com/PortAdelaideObedienceDogClub,No Available,No Available,No Available,
AlfaDog,+61 405 539 381,4.6,12,"Glenelg North SA, Australia",5045,https://www.alfadog.com.au/,https://www.facebook.com/ALFADog,No Available,No Available,https://www.youtube.com/embed/APM0Q_gdWs0,"info@alfadog.com.au, info@website.com, info@website.com, info@alfadog.com.au, info@alfadog.com.au"
Positive Dog Training,+61 418 886 698,3.5,22,--Not Provided--,-,http://positivedogtraining.com.au/,https://www.facebook.com/Positive,No Available,No Available,https://www.youtube.com/channel/UCRJPQthx2zYxP4DNI2L6BOA,"info@positivedogtraining.com.au, info@positivedogtraining.com.au"
Noarlunga City Obedience Dog Club,+61 481 845 050,4.6,20,"Morphett Vale SA, Australia",5162,http://noarlungadogclub.net/,http://www.facebook.com/2008,No Available,No Available,https://www.youtube.com/channel/UCK8itRPig0xu-xt62bTyWig,"noarlungadogclub@gmail.com, noarlungadogclub@gmail.com"
Canine Interaction,+61 432 247 999,5,11,"Croydon Park SA, Australia",3136,https://canineinteraction.com.au/,https://www.facebook.com/tr,No Available,https://www.instagram.com/canineinteraction,No Available,
SuperDogs Positive Behavioural Training,--Not Provided--,4.3,7,--Not Provided--,-,https://www.superdogstraining.net/,No Available,No Available,No Available,No Available,"hello@superdogstraining.net, hello@superdogstraining.net, hello@superdogstraining.net"
Klever Kanine Dog Obedience School,+61 409 840 726,4.7,11,--Not Provided--,-,https://kleverkanine.com.au/,No Available,No Available,No Available,https://www.youtube.com/embed/BnjZ732VCRo,"kleverkanine@gmail.com, kleverkanine@gmail.com"
Dover Gardens Kennel & Obedience Club Inc.,+61 493 368 178,4.5,20,--Not Provided--,-,http://www.doverdog.org.au,https://www.facebook.com/profile,No Available,No Available,No Available,
Wolfpack Dog Training,+61 413 975 296,5,16,"Aberfoyle Park SA, Australia",5159,http://www.wolfpackdogtraining.com/,https://www.facebook.com/profile,No Available,No Available,No Available,
Dog Training Adelaide,+61 475 440 783,3.4,12,"Ingle Farm SA, Australia",5098,https://dogtrainingadelaide.net.au/,https://www.facebook.com/adelaidedogtraining,No Available,No Available,No Available,
Puppy Partners,+61 408 089 555,5,16,"Ridgehaven SA, Australia",5097,https://www.puppypartners.com.au/,https://www.facebook.com/puppypartnersSA,No Available,No Available,No Available,
Bark Busters Home Dog Training Adelaide East & Hills,+61 1800 067 710,3.7,3,--Not Provided--,-,https://barkbusters.com.au/dog_trainers/sue-good/,https://www.facebook.com/tr,No Available,No Available,https://www.youtube.com/channel/UCmFPLhzpXnXHrIYSSpvxKIA,
Refreshing Paws Dog Training,+61 411 317 212,5,16,"Craigburn Farm SA, Australia",5051,http://www.refreshingpawsdogtraining.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/refreshingpawsdogtraining,No Available,
Tails of Success: Dog Training,--Not Provided--,5,3,--Not Provided--,-,https://tailsofsuccess-dogtraining.com/,https://www.facebook.com/tailsofsuccess,No Available,https://www.instagram.com/tailsofsuccess,No Available,
Canine Assist,+61 484 694 520,5,7,"Morphett Vale SA, Australia",5162,http://www.canine-assist.com.au/,No Available,No Available,No Available,No Available,
German Shepherd Dog Club Of Sa Inc,+61 8 8353 7895,4.5,23,"West Beach SA, Australia",3003,http://www.gsdcsa.org.au/,http://www.facebook.com/gsdcsa,No Available,No Available,No Available,
Help At Hound,--Not Provided--,5,2,--Not Provided--,-,http://www.helpathound.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/reel,No Available,
Dogwise Daycare,+61 452 101 029,5,83,"Cheltenham SA, Australia",3192,http://www.dogwisedaycare.com.au/,https://www.facebook.com/Dogwise,No Available,https://www.instagram.com/dogwisedaycare,No Available,"info@dogwisedaycare.com.au, info@dogwisedaycare.com.au"
DOGS ETC,+61 404 464 793,4.6,13,--Not Provided--,-,http://www.dogsetc.com.au/,https://www.facebook.com/pages,No Available,No Available,http://www.youtube.com/user/D0g5etc,
All Breeds Dog Training,+61 475 440 783,3.3,8,"Paradise SA, Australia",4217,https://allbreedsdogtraining.com/,https://www.facebook.com/adelaidedogtraining,No Available,No Available,No Available,
Paws & Reward,+61 432 885 874,4.7,15,--Not Provided--,-,http://pawsandreward.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/pawsandrewardaustralia,No Available,"Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com"
School For Dogs Aldinga Bay,--Not Provided--,4.6,17,"Aldinga Beach SA, Australia",5173,http://www.sfdab.org.au/,https://www.facebook.com/sfdab,No Available,No Available,No Available,"admin@sfdab.org.au, admin@sfdab.org.au, admin@sfdab.org.au"
Elite Canine,+61 432 156 441,5,1,--Not Provided--,-,http://www.elitecanine.com.au/,https://www.facebook.com/elitecanineinternational,No Available,https://www.instagram.com/elite,No Available,"info@elitecanine.com.au, info@elitecanine.com.au"
For the love of your dog,+61 411 460 233,5,2,"Goodwood SA, Australia",7010,https://www.fortheloveofyourdog.com/,https://www.facebook.com/fortheloveofyourdog1,No Available,https://www.instagram.com/fortheloveofyourdog,No Available,info@fortheloveofyourdog.com
Robert Parkinson Dog Trainer,+61 458 551 954,5,3,"Manningham SA, Australia",5086,http://robert-parkinson.com/,No Available,No Available,No Available,No Available,
SuperDogs Positive Behavioural Training,--Not Provided--,5,3,--Not Provided--,-,https://www.superdogstraining.net/,No Available,No Available,No Available,No Available,"hello@superdogstraining.net, hello@superdogstraining.net, hello@superdogstraining.net"
Dogs Matter - Dog Behaviour & Training In Melbourne,--Not Provided--,No ratings,No reviews,--Not Provided--,-,http://www.dogsmatter.com.au/,No Available,No Available,No Available,No Available,
Eves Dog Salon,+61 8 8363 7444,4.4,10,"Evandale SA, Australia",7212,https://eves-dog-salon.business.site/,No Available,No Available,No Available,No Available,
Contento Canines,+61 431 590 630,5,2,--Not Provided--,-,http://www.contentocanines.com.au/,https://www.facebook.com/contentocanines,No Available,https://www.instagram.com/contentocanines,No Available,"contentocanines@mail.com, contentocanines@mail.com"
Best Friend Dog Care Adelaide- Dog Training & Behaviour -We travel to you servicing Adelaide CBD and surrounding suburbs,+61 401 615 437,No ratings,No reviews,--Not Provided--,-,http://www.bestfrienddogcare.com.au/,https://www.facebook.com/bfdogcare,No Available,https://www.instagram.com/bestfrienddogcare,https://www.youtube.com/channel/UCIo4dxed-jCyodtysZF5Nwg,"email@email.com, admin@bestfrienddogcare.com.au"
MYK9Design,--Not Provided--,5,8,"Goodwood SA, Australia",7010,https://www.etsy.com/au/shop/MYK9Design,https://www.facebook.com/2008,No Available,No Available,No Available,
Dog B Mod,+61 412 738 444,No ratings,No reviews,--Not Provided--,-,https://www.facebook.com/DogBMod/,https://www.facebook.com/DogBMod,No Available,No Available,No Available,
Refreshing Paws Dog Training,+61 411 317 212,No ratings,No reviews,"Goodwood SA, Australia",7010,http://www.refreshingpawsdogtraining.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/refreshingpawsdogtraining,No Available,
Therapy Dogs,+61 481 293 370,4.5,2,--Not Provided--,-,http://www.therapeuticdogservices.org/,No Available,No Available,No Available,No Available,
Beau's Pet Hotel,+61 8 8115 6080,4.5,231,"Adelaide Airport SA, Australia",5006,https://beaus.org.au/,https://www.facebook.com/beauspethotel,No Available,No Available,No Available,"info@beaus.org.au, info@beaus.org.au"
Crafty Canines Training Academy,--Not Provided--,No ratings,No reviews,--Not Provided--,-,http://www.craftycanines.com.au/,No Available,No Available,No Available,No Available,"hello@craftycanines.com.au, hello@craftycanines.com.au, hello@craftycanines.com.au, hello@craftycanines.com.au"
Angelwhisperer Wellness Services Doggy Day Spa,+61 408 830 900,5,1,--Not Provided--,-,https://www.angelwhisperer.com.au/,https://www.facebook.com/DebbiKempAngelwhispererWellnessServices,No Available,No Available,No Available,debbi@angelwhisperer.com.au
Little Rascals Petcare,+61 427 089 993,No ratings,No reviews,--Not Provided--,-,http://www.littlerascalspetcare.com.au/,No Available,No Available,No Available,No Available,info@littlerascalspetcare.com.au
Harmony Dogs Australia,+61 8 7288 2661,No ratings,No reviews,"Hackham SA, Australia",5163,https://www.harmonydogsaus.com.au/,No Available,No Available,No Available,No Available,"gedlan@live.com, info@harmonydogsaus.com.au"
Dog Club,+61 406 887 125,5,2,"St Marys SA, Australia",3021,http://www.dogclubsa.com/,https://www.facebook.com/dogclubsa,No Available,https://www.instagram.com/dogclubsa,No Available,
Gawler Dog Training Club,+61 421 369 567,4,14,--Not Provided--,-,http://www.gawlerdogtrainingclubinc.org.au/,https://www.facebook.com/Gawler,No Available,No Available,No Available,
Live Love Bark - Mobile & Salon Dog Grooming,+61 476 499 141,4.8,18,"Munno Para West SA, Australia",5115,https://livelovebark.business.site/?utm_source=gmb&utm_medium=referral,No Available,No Available,No Available,No Available,
Canine Connect,--Not Provided--,5,2,"Clarendon SA, Australia",5157,http://www.canineconnect.com.au/,https://www.facebook.com/CanineConnectAustralia,No Available,https://www.instagram.com/canineconnectoz,https://www.youtube.com/channel/UCFbE0m1YHT7R_M6O4MvVrGQ,"training@canineconnect.com.au, training@canineconnect.com.au"
SitDropStay Adelaide,+61 1300 306 887,4.8,40,"Mount Pleasant SA, Australia",3930,http://sitdropstay.com/dog-training-adelaide/,https://www.facebook.com/sitdropstaydogtraining,No Available,https://www.instagram.com/sitdropstay,No Available,"admin@sitdropstay.com, admin@sitdropstay.com, admin@sitdropstay.com"
Wolfpack Dog Training,--Not Provided--,No ratings,No reviews,--Not Provided--,-,http://www.wolfpackdogtraining.com/,https://www.facebook.com/profile,No Available,No Available,No Available,
DogFX,+61 8 8269 6622,4.4,100,"Prospect SA, Australia",5082,http://dogfx.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/dogfxau,No Available,meagan@dogfx.com.au
Crafty Canines,+61 427 082 925,No ratings,No reviews,--Not Provided--,-,http://www.craftycanines.com.au/,No Available,No Available,No Available,No Available,"hello@craftycanines.com.au, hello@craftycanines.com.au, hello@craftycanines.com.au, hello@craftycanines.com.au"
Ari and Me Doggy Daycare,+61 420 228 506,4.7,54,"Golden Grove SA, Australia",3851,http://www.ariandmedoggydaycare.com.au/,https://www.facebook.com/Ariandmedoggydaycare,No Available,No Available,No Available,
Little Dog Daycare,+61 8 8151 1203,5,27,"North Adelaide SA, Australia",3978,https://www.littledogdaycare.com.au/,https://www.facebook.com/profile,No Available,No Available,No Available,"littledogdaycare@outlook.com, littledogdaycare@outlook.com"
Take The Lead Canine Services,+61 429 036 445,4.9,96,"Middle Beach SA, Australia",6056,https://taketheleadau.com.au/,https://www.facebook.com/taketheleadau,No Available,https://www.instagram.com/take,No Available,contact@taketheleadau.com.au
Scholars in Collars,--Not Provided--,4.5,10,--Not Provided--,-,http://www.scholarsincollars.com.au/,https://www.facebook.com/scholarsincollars,No Available,https://www.instagram.com/scholarsincollars,No Available,
Bluey the Griff,--Not Provided--,No ratings,No reviews,--Not Provided--,-,https://blueythegriff.business.site/?utm_source=gmb&utm_medium=referral,No Available,No Available,No Available,No Available,
National K9 Services,+61 419 175 582,5,9,--Not Provided--,-,http://nk9s.com.au/,https://www.facebook.com/WordPresscom,No Available,No Available,No Available,
Paws & Reward,+61 432 885 874,No ratings,No reviews,--Not Provided--,-,https://pawsandreward.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/pawsandrewardaustralia,No Available,"Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com, Pawsandrewardaustralia@gmail.com"
Taylored Dog Training,+61 422 056 455,No ratings,No reviews,--Not Provided--,-,http://www.tayloreddogtraining.com.au/,https://www.facebook.com/TayloredDogTraining,No Available,No Available,No Available,
