title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Fur Get Me Not - Dog Training & Behaviour,+61 402 767 821,4.9,95,--Not Provided--,-,http://www.furgetmenot.com.au/,https://www.facebook.com/furgetmenotbne,No Available,https://www.instagram.com/furgetmenot,No Available,"info@furgetmenot.com.au, info@furgetmenot.com.au, info@furgetmenot.com.au, info@furgetmenot.com.au"
Jordan Dog Training,+61 7 3264 8180,4.9,203,--Not Provided--,-,http://jordandogtraining.com.au/,https://www.facebook.com/tr,No Available,No Available,No Available,
Pawsitive Connection Pty Ltd,+61 499 044 687,4.8,48,--Not Provided--,-,http://www.pawsitiveconnection.com.au/,https://www.facebook.com/pawsitiveconnectionptyltd,No Available,No Available,https://www.youtube.com/iframe_api,"your@email.com, info@pawsitiveconnection.com.au"
Dog Bizness,+61 422 351 097,4.9,167,--Not Provided--,-,http://www.dogbizness.com.au/,https://www.facebook.com/dogbizness01,No Available,No Available,No Available,"info@dogbizness.com.au, info@dogbizness.com.au"
Bark Busters Brisbane North,+61 1800 067 710,4.9,72,--Not Provided--,-,http://brisbanedogtrainers.com/?utm_source=gmb&utm_medium=referral,https://www.facebook.com/barkbustersbrisbanenortheast,No Available,No Available,https://www.youtube.com/embed/OYWlFh1sfvM,brisbanenortheast@barkbusters.com.au
Urban Dog Training,+61 7 3342 0568,4.1,112,"Carindale QLD, Australia",4152,http://www.urbandogtraining.com.au/,http://www.facebook.com/pages,No Available,No Available,http://www.youtube.com/user/TheUrbanPuppy,
Brisbane Dog Training Club,--Not Provided--,4.5,22,"Oxley QLD, Australia",4075,http://www.bdtc.org.au/,No Available,No Available,No Available,https://www.youtube.com/embed/Pivc_GSeXXo,
Luna Rae Dog Training,+61 423 472 437,5.0,28,--Not Provided--,-,https://www.facebook.com/LunaRaeDogTraining,https://www.facebook.com/LunaRaeDogTraining,No Available,No Available,No Available,
The Paw Professor,+61 402 843 768,4.8,68,"Brookfield QLD, Australia",4069,http://www.thepawprofessor.com.au/,No Available,No Available,No Available,No Available,
Dog Training Begins,+61 411 698 803,5.0,33,--Not Provided--,-,https://www.begins.com.au/,https://www.facebook.com/dogtrainingbegins,No Available,No Available,No Available,hello@begins.com.au
