title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
Good Dog Behaviour & Training,+61 439 331 354,5.0,35,--Not Provided--,-,http://www.gooddogbehaviour.com.au/,https://www.facebook.com/gooddogbehaviour,No Available,https://www.instagram.com/gooddogbehaviour,No Available,"hello@gooddogbehaviour.com.au, hello@gooddogbehaviour.com.au"
Bark Busters Home Dog Training Melbourne North,+61 1800 067 710,5.0,164,--Not Provided--,-,https://barkbusters.com.au/dog_trainers/stefanie-budiman/,https://www.facebook.com/tr,No Available,No Available,https://www.youtube.com/channel/UCmFPLhzpXnXHrIYSSpvxKIA,
K-9iQ,--Not Provided--,4.9,176,"Melbourne VIC, Australia",3002,http://www.k-9iq.com/?utm_source=google&utm_medium=local,No Available,No Available,No Available,No Available,
Good Dog Training Tips,+61 400 508 944,4.9,28,--Not Provided--,-,https://gooddogtrainingtips.com/,https://www.facebook.com/pg,No Available,https://www.instagram.com/gooddogtrainingtips,No Available,"contact@gooddogtrainingtips.com.au, Alessina@gooddogtrainingtips.com, alessina@gooddogtrainingtips.com"
Pet Pursuits Dog Training,+61 408 058 886,5.0,66,--Not Provided--,-,http://www.petpursuits.com.au/,https://www.facebook.com/PetPursuits,No Available,No Available,No Available,kirsten@petpursuits.com.au
Melanie Scott K9 Training,+61 448 395 797,5.0,44,"Melbourne VIC, Australia",3002,http://www.melaniescottk9training.com/,http://www.facebook.com/wix,http://www.twitter.com/wix,No Available,No Available,
Underdog Training and Behaviour Consulting,+61 402 112 105,4.7,29,"Melbourne VIC, Australia",3002,http://www.underdogtraining.com.au/,No Available,No Available,No Available,No Available,info@underdogtraining.com.au
Positive K9 Training,+61 409 759 759,4.9,188,"Balwyn North VIC, Australia",3103,https://positivek9training.com.au/,https://www.facebook.com/PositiveK9Training,No Available,No Available,https://www.youtube.com/user/chrisloverseed,
The Art of Dog Training,+61 403 000 122,5.0,69,"South Yarra VIC, Australia",3205,http://www.theartofdogtraining.com.au/,https://www.facebook.com/theartofdogtraining,No Available,No Available,https://www.youtube.com/iframe_api,"michelle@theartofdogtraining.com.au, michelle@theartofdogtraining.com.au"
Laura Mundy DOG TRAINING,+61 412 732 771,5.0,22,--Not Provided--,-,http://lauramundydogtraining.com.au/,http://www.facebook.com/2008,No Available,https://www.instagram.com/lauramundydogtraining,No Available,"info@lauramundydogtraining.com.au, info@lauramundydogtraining.com.au, info@lauramundydogtraining.com.au, info@lauramundydogtraining.com.au, info@lauramundydogtraining.com.au"
Dale For Dogs,+61 403 512 189,4.9,48,--Not Provided--,-,https://dalefordogs.com.au/,https://www.facebook.com/113911100798791,No Available,https://www.instagram.com/dalefordogs,No Available,"hello@dalefordogs.com.au, hello@dalefordogs.com.au, hello@dalefordogs.com.au"
Sankiri Dog Training,+61 401 634 392,4.8,69,--Not Provided--,-,http://www.sankiridogtraining.com.au/,http://www.facebook.com/pages,No Available,No Available,No Available,
Melbourne Dog Trainers,+61 3 8609 9700,4.6,27,"Ormond VIC, Australia",3204,https://melbournedogtrainers.com.au/,https://www.facebook.com/MelbourneDogTrainers,No Available,https://www.instagram.com/melbournedogtrainers,No Available,"bookings@melbournedogtrainers.com.au, bookings@melbournedogtrainers.com.au"
Ian The Dog Trainer,+61 408 374 444,4.2,46,--Not Provided--,-,http://www.ianthedogtrainer.com.au/,https://www.facebook.com/ianthedogtrainer,No Available,https://www.instagram.com/ianthedogtrainer,https://www.youtube.com/embed/LKAVdJNdoBE,ian@ianthedogtrainer.com.au
SitDropStay Melbourne,+61 1300 306 887,5.0,155,"Reservoir VIC, Australia",3073,http://www.sitdropstay.com/dog-training-melbourne/,https://www.facebook.com/sitdropstaydogtraining,No Available,https://www.instagram.com/sitdropstay,No Available,"admin@sitdropstay.com, admin@sitdropstay.com, admin@sitdropstay.com"
Command Dog Training School,+61 3 9877 6522,4.6,86,"Blackburn VIC, Australia",3130,https://www.dogtraining.com.au/,No Available,No Available,No Available,No Available,
Dog Tales Puppy & Dog Training,+61 424 186 377,5.0,22,--Not Provided--,-,http://www.dogtalestraining.co/,https://www.facebook.com/dogtales,No Available,No Available,No Available,
The Dog Training Co,+61 434 231 672,5.0,22,--Not Provided--,-,http://www.thedogtrainingco.com.au/,https://www.facebook.com/The,No Available,https://www.instagram.com/dogtrainingco,No Available,"hello@thedogtrainingco.com.au, hello@thedogtrainingco.com.au, hello@thedogtrainingco.com.au, hello@thedogtrainingco.com.au, hello@thedogtrainingco.com.au"
