title,phone,rating,review,address,post_code,website,facebook,twitter,instagram,youtube,emails
K9 Trainer,+61 406 873 308,4.8,235,--Not Provided--,-,https://www.k9trainer.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,https://www.facebook.com/profile,No Available,No Available,https://www.youtube.com/embed/9y4kh-eT5is,
Mutts with Manners,+61 410 626 677,4.8,83,"Glebe NSW, Australia",2037,http://www.muttswithmanners.com.au/,http://www.facebook.com/muttswithmanners,http://www.twitter.com/muttswithmanners,https://www.instagram.com/muttswithmanners,No Available,"support@muttswithmanners.com.au, support@muttswithmanners.com.au, support@muttswithmanners.com.au"
Eastern Suburbs Dog Training,+61 404 331 741,5.0,232,--Not Provided--,-,http://www.easternsuburbsdogtraining.com.au/,https://www.facebook.com/Eastern,No Available,No Available,No Available,
The Dog Brigade,+61 405 534 034,5.0,98,"Sydney NSW, Australia",2060,https://www.thedogbrigade.com.au/,https://www.facebook.com/pages,No Available,No Available,No Available,
"Polite Paws Dog Training, Puppy Preschool, Manners Classes & Behaviour Modification",+61 432 633 250,4.6,65,"Bexley NSW, Australia",2207,http://www.politepaws.com.au/,https://www.facebook.com/PolitePaws,No Available,https://www.instagram.com/politepawsparadise,No Available,
Canine Counselling,+61 448 599 663,5.0,154,--Not Provided--,-,https://www.k9counselling.com.au/,http://www.facebook.com/k9counselling,No Available,No Available,No Available,"mark@k9counselling.com.au, mark@k9counselling.com.au"
Eazy Dog Training,+61 404 022 114,4.8,166,--Not Provided--,-,https://eazydogtraining.com/,https://www.facebook.com/tr,No Available,https://www.instagram.com/eazydogtrainingsydney,No Available,
Pet Professor - Dog Training Sydney,+61 433 612 059,5.0,21,--Not Provided--,-,https://www.petprofessor.com.au/,https://www.facebook.com/PetProfessorSyd,No Available,https://www.instagram.com/petprofessorsyd,No Available,"hello@petprofessor.com.au, hello@petprofessor.com.au"
Bark Busters Inner West Sydney,+61 1800 067 710,5.0,47,--Not Provided--,-,https://barkbusters.com.au/dog-training-inner-west-sydney,https://www.facebook.com/tr,No Available,No Available,https://www.youtube.com/channel/UCmFPLhzpXnXHrIYSSpvxKIA,
DogTech,+61 2 8018 5200,4.3,80,"Hurlstone Park NSW, Australia",2193,https://dogtech.com.au/,https://www.facebook.com/tr,No Available,https://www.instagram.com/dogtechbehaviourtraining,https://www.youtube.com/embed/R5-O8QMKclQ,
Rejoice Dogs Team,+61 452 506 357,4.7,79,--Not Provided--,-,https://rejoicedogsteam.com.au/,https://www.facebook.com/RejoiceDogsTeam,No Available,https://www.instagram.com/rejoicedogsteam,https://www.youtube.com/watch,"contact@rejoicedogsteam.com.au, contact@RejoiceDogsTeam.com.au, contact@rejoicedogsteam.com.au, contact@rejoicedogsteam.com.au"
Dog Behaviour Specialist,+61 422 528 600,4.4,182,"Norwest NSW, Australia",-,http://www.dogbehaviourspecialist.com.au/,http://www.facebook.com/Dog,No Available,No Available,https://www.youtube.com/embed/NaoEHBvrtw0,
Witty Woofs - Force Free Games Based Dog Behaviour and Training,--Not Provided--,5.0,22,--Not Provided--,-,http://www.wittywoofs.com/,https://www.facebook.com/wittywoofs,No Available,https://www.instagram.com/wittywoofs,No Available,Wittywoofs@gmail.com
