title,phone,rating,review,address,website,post_code
Oscar's on Unley - Dog Grooming Adelaide,--Not Provided--,4.4,82,"Unley SA, Australia",http://www.oscarsonunley.com.au/,5061
Dog Grooming Adelaide ~ Paws of Distinction,+61 405 396 757,4.2,55,"Beulah Park SA, Australia",http://www.pawsofdistinctionsa.com.au/,3395
Mima's Grooming,+61 8 7225 8800,4.7,140,"Allenby Gardens SA, Australia",http://www.facebook.com/mimasgrooming,5009
The Spoilt Dog Prospect,+61 473 228 494,4.7,88,"Prospect SA, Australia",https://www.facebook.com/thespoiltdogprospect?mibextid=ZbWKwL,5082
Summer Pet Grooming,+61 450 222 929,4.8,57,"Parkside SA, Australia",https://www.summer-pet.com/,4825
MikeNeko Pet,--Not Provided--,5.0,56,"Adelaide SA, Australia",http://mikenekopet.gettimely.com/,5006
Paw by Paw Playhouse Dog Grooming & Daycare,+61 8 8185 7098,4.8,151,"Lonsdale SA, Australia",http://www.pawbypawplayhouse.com/,3225
Purple Pooch Dog Grooming,+61 498 616 854,4.3,36,"Highgate SA, Australia",http://www.facebook.com/purplepoochdoggrooming,4101
Dirty Dogs Clip N Clean,+61 8 8165 1555,4.7,73,"Newton SA, Australia",http://www.dirtydogs.com.au/,5074
Professional Canine Stylists,+61 8 8272 9631,4.9,27,"Kings Park SA, Australia",http://professionalcaninestylists.com.au/,2147
Little Dog Daycare,+61 8 8151 1203,5.0,28,"North Adelaide SA, Australia",https://www.littledogdaycare.com.au/,3978
Dog Lovers,+61 8 8263 8550,4.6,67,"Para Vista SA, Australia",http://www.dog-lovers.com.au/,5096
DogFX,+61 8 8269 6622,4.4,100,"Prospect SA, Australia",http://dogfx.com.au/,5082
Pampering Pooches,+61 412 446 622,4.7,40,"Seacombe Gardens SA, Australia",http://www.pamperingpooches.com.au/,5047
Paws Dog Day Care & Grooming,+61 8 8166 6837,4.6,63,"Wayville SA, Australia",https://pawsdogdaycare.com.au/,5034
City Slickers Dog Grooming,+61 403 473 473,4.4,94,"Morphett Vale SA, Australia",http://www.cityslickers.com.au/,5162
Cheeky Dog Salon,+61 415 079 494,4.8,35,"Klemzig SA, Australia",https://www.facebook.com/cheekydogsalon/,5087
Shear Heaven mobile dog grooming,+61 436 465 234,4.4,16,"Adelaide SA, Australia",http://www.shearheaven.com.au/,5006
Dog Lovers,+61 8 8263 8550,4.6,67,"Para Vista SA, Australia",http://www.dog-lovers.com.au/,5096
Paw by Paw Playhouse Dog Grooming & Daycare,+61 8 8185 7098,4.8,151,"Lonsdale SA, Australia",http://www.pawbypawplayhouse.com/,3225
Pup Boutique,+61 413 535 131,5.0,25,"Cpbelltown SA, Australia",http://www.pupboutique.com.au/,-
Shear Heaven mobile dog grooming,+61 436 465 234,4.4,16,"Adelaide SA, Australia",http://www.shearheaven.com.au/,5006
Paw Le Chic,+61 401 720 895,4.8,34,--Not Provided--,http://www.pawlechic.com.au/,-
Blue Wheelers Modbury,+61 428 118 999,5.0,11,--Not Provided--,https://www.bluewheelers.com.au/mobile-dog-grooming/modbury-sa/,-
City Slickers Dog Grooming,+61 403 473 473,4.4,94,"Morphett Vale SA, Australia",http://www.cityslickers.com.au/,5162
Dogs 4 Eve and Meg,+61 406 475 207,4.9,17,"Maylands SA, Australia",http://www.dogs4eveandmeg.com.au/,6051
Diamond Dogs Mobile Grooming,+61 415 043 020,5.0,18,--Not Provided--,http://www.diamonddogs.com.au/,-
Newlife Grooming,+61 450 292 582,4.9,28,--Not Provided--,https://newlifegrooming.wixsite.com/salon,-
Blue Wheelers Marion,+61 427 619 542,4.7,9,--Not Provided--,http://www.bluewheelers.com.au/mobile-dog-grooming/marion-sa/,-
GROOMING with Shelley,+61 404 762 667,4.8,61,"Albert Park SA, Australia",https://web.facebook.com/groomingwithshelley/,2650
Dog Love Grooming,+61 424 444 420,5.0,25,"Tranmere SA, Australia",http://dogloveservices.com.au/,5073
Precious Paws Pet Grooming,+61 403 697 703,4.0,18,"Royston Park SA, Australia",http://www.preciouspaws.com.au/,5070
Metro Mutt Dog Salon,+61 481 487 468,4.8,76,"Queenstown SA, Australia",https://www.facebook.com/profile.php?id=100052597015566&mibextid=LQQJ4d,7467
Jim's Dog Wash Christies Beach,--Not Provided--,4.7,12,--Not Provided--,https://jimsdogwash.net.au/,-
Dogcity Daycare East - Kent Town,--Not Provided--,4.7,114,"Kent Town SA, Australia",https://dogcity.com.au/,5067
Sweet Pup O' Mine,+61 412 875 743,4.9,19,"Greenacres SA, Australia",https://www.facebook.com/sweetpupomineadl,5086
Yuppy Puppy,+61 414 276 442,4.3,37,"Flagstaff Hill SA, Australia",https://dog-grooming-adelaide.com.au/,5159
Furkids Funhouse,--Not Provided--,5.0,41,"Royal Park SA, Australia",http://furkidsfunhouse.com.au/,5014
Dapper Dogs @ Brighton,+61 438 808 930,4.9,10,--Not Provided--,http://www.dapperdogsbrighton.com.au/,-
