title,phone,rating,review,address,website,post_code
Four Paw,+61 7 3369 5175,4.7,78,"Red Hill QLD, Australia",http://www.fourpaw.com.au/,3496
The Grooming Salon,+61 447 970 555,4.6,104,"Greenslopes QLD, Australia",http://www.thegroomingsalon.com.au/,4120
KOOHIKI Spa & Pets Grooming Salon,+61 7 3162 9637,4.7,95,"Runcorn QLD, Australia",http://koohiki.com.au/,4113
Paws On Logan,+61 432 563 880,4.8,40,"Greenslopes QLD, Australia",https://www.facebook.com/pawsonlytton/,4120
Little Dog Studio,+61 423 370 341,4.9,53,"Nundah QLD, Australia",http://www.littledogstudio.com.au/,4012
Friends with Fur - Cannon Hill,+61 7 3393 9351,4.4,90,"Cannon Hill QLD, Australia",http://www.friendswithfur.com.au/,4170
Mr Teddy Bear,--Not Provided--,4.5,132,"Bowen Hills QLD, Australia",http://www.mrteddybear.com.au/,4805
All Fur Love Mobile Pet Care,+61 422 422 404,4.3,41,--Not Provided--,http://www.allfurlove.com.au/,-
Doggy Day Care Brisbane,--Not Provided--,4.6,75,"South Brisbane QLD, Australia",http://www.doggydaycarebrisbane.com.au/,3205
The Laundromutt Dog Grooming,+61 405 991 001,4.7,24,--Not Provided--,http://www.thelaundromutt.dog/,-
Mr Potts dog grooming,+61 439 691 307,4.9,88,"Albion QLD, Australia",http://www.mrpottsgrooming.com/,2527
Aussie Pooch Mobile Dog Wash Keperra,+61 1300 369 369,5.0,24,--Not Provided--,https://www.aussiepm.com.au/dog-wash-grooming/keperra,-
A & S Dog Grooming,+61 421 574 524,4.4,59,"Carseldine QLD, Australia",https://a-s-dog-grooming.business.site/?utm_source=gmb&utm_medium=referral,4034
Bella & Beau Dog Grooming Boutique,+61 7 3172 5172,4.5,34,"Acacia Ridge QLD, Australia",http://www.bellabeaugrooming.com.au/,4110
Chuppi Dog Grooming,+61 481 268 095,4.9,38,"Everton Park QLD, Australia",http://chuppi.com/,4053
Ruff Ruff Dog Grooming & Daycare,+61 427 833 156,5.0,25,"Murarrie QLD, Australia",https://www.ruffruff.com.au/,4172
The Pet Pad,+61 7 3216 0888,4.5,108,"Newstead QLD, Australia",http://www.thepetpad.com.au/,7250
Hollywood Hounds,+61 426 295 224,4.4,38,"Morningside QLD, Australia",https://www.hollywoodhounds.com.au/,4170
Blue Wheelers Nundah,+61 456 797 443,4.8,27,--Not Provided--,https://www.bluewheelers.com.au/mobile-dog-grooming/nundah-qld,-
La Casa de Pooch,+61 7 3162 0200,4.3,87,"Geebung QLD, Australia",http://www.lacasadepooch.net/,4034
Wooftopia (Formerly Hairy Barkers) Dog Grooming & Daycare,+61 7 3161 7408,4.2,38,"Upper Mount Gravatt QLD, Australia",http://www.wooftopia.com.au/,4209
