title,phone,rating,review,address,website,post_code
Kloud9Pet,+61 423 069 067,4.5,111,"South Melbourne VIC, Australia",http://kloud9pet.com.au/?nocache=1,3205
Ange Pet Salon Port Melbourne,+61 3 9646 5150,4.3,115,"Port Melbourne VIC, Australia",http://www.murphyspaw.com.au/,3207
She Walks,--Not Provided--,5.0,45,--Not Provided--,https://shewalks.com.au/?utm_source=Google&utm_medium=Organic&utm_campaign=GMB,-
John Paul Pooches,+61 449 588 247,5.0,29,"South Melbourne VIC, Australia",https://johnpaulpooches.com.au/,3205
Hachi & Co - Melbourne City | Dog Grooming,--Not Provided--,4.9,20,"Melbourne VIC, Australia",http://www.hachiandco.com.au/,3002
Groom-me by Lisa-Marie,+61 3 9939 1079,4.5,139,"St Kilda VIC, Australia",http://www.groom-me.com.au/,3021
Foxy's Mobile Dog Washing & Grooming Service,+61 407 965 085,4.0,30,--Not Provided--,http://foxysmobiledogwash.com.au/,-
Top 2 Tail,+61 448 178 381,4.4,72,"Murrumbeena VIC, Australia",http://www.top2tailmelbourne.com/,3163
Shaggy Doo Mobile Dog Grooming,+61 421 178 517,5.0,39,"St Kilda East VIC, Australia",http://www.shaggydoo.com.au/,3021
Pinup Pooch Dog Grooming,+61 421 804 547,5.0,41,"Collingwood VIC, Australia",https://www.facebook.com/Pinup-Pooch-Dog-Grooming-503615656437411/,3066
Sandy Paws Dog Grooming Reservoir | Dog grooming near Preston | Thomastown | Bundoora,+61 3 8590 8901,4.9,136,"Reservoir VIC, Australia",https://sandypaws3073.square.site/,3073
Petiquette by Caroline 🐕 Dog Grooming & Wash,+61 452 056 723,4.6,130,"Elwood VIC, Australia",https://www.petiquettebycaroline.com.au/,3184
Wen's Dog Grooming Salon,+61 3 8528 3422,4.2,75,"Malvern VIC, Australia",https://www.wensdoggrooming.com/,3144
Crackin Dog Grooming,+61 490 410 839,4.6,65,"Ascot Vale VIC, Australia",http://www.crackindoggrooming.com.au/,3032
Ange Pet Salon St Kilda,+61 422 681 955,4.7,28,"St Kilda VIC, Australia",https://www.alphapet.com.au/pet-grooming-services/,3021
My Fluffy Dog Grooming Services,+61 499 310 013,5.0,31,"Richmond VIC, Australia",http://www.myfluffydog.com/,3121
Pretty Kitty!,+61 3 9489 4334,4.9,143,"Northcote VIC, Australia",https://www.prettykittyvic.com.au/,3070
Superb Dog Grooming,+61 406 298 111,4.9,221,"Wheelers Hill VIC, Australia",http://www.superbgrooming.com.au/,3150
P2 Pets ( Dog & Cat Grooming ),+61 451 229 274,4.7,69,"Caulfield North VIC, Australia",http://www.p2pets.com.au/,3161
Western Dogwash,+61 409 806 121,4.1,26,--Not Provided--,http://westerndogwash.com.au/,-
Tani's Mobile Doggy Wash,+61 434 256 817,4.3,53,--Not Provided--,http://www.tanismobiledoggywash.com.au/,-
Howdy Dog Grooming,+61 421 880 408,4.9,13,--Not Provided--,http://www.howdydoggrooming.com/,-
K9 Design Studio | Reservoir Dog Grooming,+61 421 865 850,4.7,105,"Reservoir VIC, Australia",http://www.facebook.com/k9designstudio,3073
Doggies Day Out Dog Grooming,+61 403 418 835,4.3,97,"Bentleigh VIC, Australia",https://www.doggiesdayout.com.au/,3165
"The Pawfect Touch - Dog Grooming Salon, Dog wash Oakleigh",+61 452 303 400,4.7,19,--Not Provided--,https://www.thepawfecttouchsalon.com.au/,-
The Dog Dazzlers,+61 3 9808 3289,4.7,149,"Burwood VIC, Australia",https://thedogdazzlers.com.au/?utm_source=GMB&utm_medium=organic,3125
Dogs of the North,+61 425 717 119,4.9,38,"Northcote VIC, Australia",http://www.dogsofthenorth.com.au/,3070
Transpawmers Dog Grooming & Boutique,+61 410 990 344,4.3,35,"Preston VIC, Australia",https://www.facebook.com/transpawmers/,3072
Diva Dogs Dog Grooming,+61 421 280 530,4.3,57,"Oakleigh VIC, Australia",http://www.divadogs.com.au/,3166
Spa Bark Dog Grooming,+61 3 9370 1749,4.1,116,"Moonee Ponds VIC, Australia",http://www.spabark.com.au/,3039
The Dogs Lounge,+61 429 147 755,4.7,77,"Thornbury VIC, Australia",http://www.thedogslounge.com.au/,3071
Pet Art Carlton North,--Not Provided--,4.3,80,"Carlton North VIC, Australia",https://www.petart.net.au/,3053
Kylies Cat Grooming Services,+61 410 553 835,4.6,94,"Derrimut VIC, Australia",https://www.kyliescatgroomingservices.com.au/,3030
Pitter Patter Paws Melbourne,--Not Provided--,4.6,109,"Flemington VIC, Australia",http://www.pppmelbourne.com.au/,3031
Blue Wheelers Caulfield,+61 458 156 063,4.9,10,--Not Provided--,http://www.bluewheelers.com.au/mobile-dog-grooming/blue-wheelers-caulfield/,-
Paws & Pose,+61 430 378 828,4.8,33,"Cberwell VIC, Australia",https://pawsandpose.business.site/,-
Uncanny Animals,+61 400 640 844,5.0,101,"Yarraville VIC, Australia",http://uncannyanimals.com/,3013
Poochi Grooming,+61 478 815 817,4.8,36,"Pascoe Vale South VIC, Australia",http://www.poochigrooming.com/,3044
Mostly Mutts Pet Salon,+61 3 9387 4504,4.8,42,"Brunswick West VIC, Australia",http://www.mmsalonbrunswick.wixsite.com/mostlymutts,3056
Paw Parlour Dog Grooming Salon,+61 432 118 960,4.9,32,"Doncaster VIC, Australia",https://www.pawparlourdoggrooming.com/,3108
The Pink Poodle Dog Grooming,+61 405 412 941,4.7,12,"Mount Waverley VIC, Australia",http://www.thepinkpoodledoggrooming.com.au/,3930
Perros Coquetos,+61 3 9818 0947,4.6,26,"Hawthorn VIC, Australia",http://www.perroscoquetos.com.au/,3122
Circle of Fluff Dog Grooming,--Not Provided--,5.0,62,"St Kilda VIC, Australia",https://www.circleoffluff.com.au/,3021
Simply Stylish Dog Grooming Salon,+61 431 984 684,4.9,69,"Balwyn North VIC, Australia",http://simplystylishdoggrooming.com.au/,3103
"Beanfeet Dog Grooming, Doggy Daycare and Pet Store Tullamarine",+61 3 8658 1218,4.3,87,"Tullarine VIC, Australia",http://www.beanfeetdoggrooming.com.au/,-
Doggy Dooz Dog Grooming,+61 3 9687 0299,4.5,145,"Seddon VIC, Australia",https://doggydooz.com.au/,3011
Yuppy Puppy Day Spa,+61 3 9888 4993,4.7,27,"Balwyn North VIC, Australia",https://yuppypuppydayspa.com.au/,3103
Diggiddydoggydaycare,--Not Provided--,4.7,97,"South Melbourne VIC, Australia",http://digdog.com.au/,3205
Animal Mad Dog Grooming,+61 402 736 295,5.0,44,"Wheelers Hill VIC, Australia",http://www.animalmadpetgrooming.com/,3150
Loving Lather dog grooming,+61 452 068 251,4.4,25,"Caulfield South VIC, Australia",http://lovinglather.com.au/,3161
Jim's Dog Wash,--Not Provided--,4.2,5,--Not Provided--,https://jimsdogwash.net.au/franchisees/kew/,-
Wag & Bone Dog Grooming,+61 401 332 762,5.0,37,"Brunswick VIC, Australia",http://wagandbone.net.au/,3056
Local Dog Groomers,+61 3 7018 0705,5.0,8,--Not Provided--,https://www.localdoggroomers.com.au/,-
Qpaw Pet Grooming,+61 478 840 456,4.7,39,"Templestowe Lower VIC, Australia",https://qpaw-pet-grooming.business.site/?utm_source=gmb&utm_medium=referral,3106
Shampers Dog Grooming Salon,+61 423 737 356,4.8,74,"Hillside VIC, Australia",https://shampers-dog-grooming-salon.business.site/?utm_source=gmb&utm_medium=referral,3037
Aunty Viv's Dog Grooming,+61 448 438 752,5.0,21,"Coburg VIC, Australia",http://www.auntyvivsdogs.com.au/,3058
The Happy Dog Hub,+61 3 9498 6073,5.0,33,"Thornbury VIC, Australia",https://www.thehappydoghub.com.au/,3071
Daisy Paw’s dog grooming,+61 408 339 201,5.0,10,"Avondale Heights VIC, Australia",https://www.daisypawsdoggrooming.com/,3034
Spitz Groom,+61 477 489 129,5.0,62,"Carlton North VIC, Australia",http://www.spitzgroom.com.au/,3053
My Favourite Dog Grooming salon,+61 402 214 167,4.9,68,"Fitzroy North VIC, Australia",http://myfavouritedogsalon.com/,3068
Northern and Western Mobile Dogwash,+61 420 533 534,4.8,243,--Not Provided--,http://www.northernmobiledogwash.com.au/,-
Kate’s Top Dog Grooming of Rosanna,+61 427 040 378,4.5,26,"Rosanna VIC, Australia",http://www.katestopdoggrooming.com.au/,3084
Cruizi Jacuzzi Dog Grooming,+61 421 900 090,4.9,27,"Airport West VIC, Australia",http://cruizijacuzzi.com.au/,3042
Muddy Dogs - Dog Grooming & Pet Supplies,+61 425 850 842,4.4,37,"St Albans VIC, Australia",https://www.muddydogspetsupplies.com.au/,3021
Fluffy Puppies Dog Grooming Pty Ltd,+61 408 184 298,5.0,43,"Mont Albert North VIC, Australia",http://www.fluffypuppiesgrooming.com.au/,3129
Clippers Expert Hair Care for Dogs,+61 3 9803 7070,4.9,72,"Glen Waverley VIC, Australia",http://www.clippersgrooming.com.au/,3150
Best Friends Pets Richmond,--Not Provided--,4.7,169,"Richmond VIC, Australia",https://www.bestfriendspets.com.au/store-locator/richmond?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmb-website,3121
Joni & Co,+61 3 9069 9907,4.5,37,"Fitzroy VIC, Australia",https://www.joniandco.com.au/,3068
Carnegie Mobile Dog Groomers,+61 3 8592 4755,4.7,6,--Not Provided--,https://www.carnegiedoggrooming.com.au/,-
AUSDOG Grooming,+61 422 066 816,4.7,183,"Essendon VIC, Australia",http://www.ausdoggrooming.com.au/,3040
Smooch Ya Pooch Dog Grooming Salon,+61 412 942 578,4.8,35,"Altona Meadows VIC, Australia",https://www.smoochyapooch.com.au/,3018
Miso and me dog spa,+61 434 354 984,5.0,15,"Prahran VIC, Australia",http://www.misoandmedogspa.com.au/,3181
Williamstown Dog Grooming,+61 3 9397 6998,4.1,40,"Willistown VIC, Australia",http://www.williamstowndoggrooming.com.au/,-
Wagtime Co.,--Not Provided--,5.0,18,"Cberwell VIC, Australia",http://wagtime.co/,-
Get Fluffed Mobile Dog Grooming,+61 431 554 795,4.6,9,--Not Provided--,https://www.facebook.com/getfluffedmobiledoggrooming/,-
Jeep's Dog Grooming (Glenroy),+61 432 289 265,4.6,34,"Glenroy VIC, Australia",https://www.facebook.com/Jeeps-Dog-Grooming-244150819482399/,3046
Jim's Dog Wash,--Not Provided--,4.3,6,--Not Provided--,https://jimsdogwash.net.au/franchisees/west-footscray/,-
M Dog Grooming Salon,--Not Provided--,4.3,29,"Mulgrave VIC, Australia",https://mdogsalon.wixsite.com/mdog,3170
Hachi,+61 435 849 844,4.3,86,"South Yarra VIC, Australia",http://hachi-melbourne.com.au/,3205
Furry Tale Pet Grooming,+61 426 391 229,5.0,24,"Glen Waverley VIC, Australia",https://furrytale.me/,3150
Salon Sebastian,+61 401 022 186,5.0,15,"Brunswick VIC, Australia",http://salonsebastian.com.au/,3056
Dooba Organic DIY Dog Wash,+61 3 9005 7029,4.8,42,"Brunswick West VIC, Australia",http://www.dooba.com.au/,3056
Baja's Groomer,+61 3 9077 7633,4.7,19,"Preston VIC, Australia",https://bajasgroomer.com/,3072
Furry Clippers Pet Grooming,+61 401 276 662,5.0,23,"Donvale VIC, Australia",http://furryclippers.com.au/,3111
No Woofing Around Dog Grooming,--Not Provided--,4.8,20,"Altona Meadows VIC, Australia",http://www.facebook.com/nowoofingaround,3018
Petstock South Melbourne,--Not Provided--,4.5,366,"South Melbourne VIC, Australia",https://www.petstock.com.au/pages/store/petstock-south-melbourne?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business&utm_content=PETstock%20South%20Melbourne%20-%20South%20Melbourne&utm_term=plcid_7112500915902968053,3205
Dooba Organic DIY Dog Wash,+61 3 9005 7029,4.8,42,"Brunswick West VIC, Australia",http://www.dooba.com.au/,3056
Howdy Dog Grooming,+61 421 880 408,4.9,13,--Not Provided--,http://www.howdydoggrooming.com/,-
Get Fluffed Mobile Dog Grooming,+61 431 554 795,4.6,9,--Not Provided--,https://www.facebook.com/getfluffedmobiledoggrooming/,-
Fantastic Felines Cat Grooming,+61 478 970 420,4.9,91,"Moorabbin VIC, Australia",http://www.fantasticfelines.com.au/,3189
Belvedere's Pet Supplies & Dog Grooming,--Not Provided--,4.7,40,"Ivanhoe VIC, Australia",http://www.belvederespetsupplies.com.au/,3079
The Grooming Studio,+61 408 133 007,5.0,7,"Brooklyn VIC, Australia",https://www.fresha.com/a/the-grooming-studio-brooklyn-brooklyn-83-cypress-avenue-s08feufi,5032
Kate’s Top Dog Grooming of Rosanna,+61 427 040 378,4.5,26,"Rosanna VIC, Australia",http://www.katestopdoggrooming.com.au/,3084
Woofers World,--Not Provided--,4.4,110,"Ormond VIC, Australia",http://www.woofersworld.com.au/,3204
Styling Poochies Dog Grooming,+61 433 170 942,5.0,10,"Sydenh VIC, Australia",http://styling-poochies-dog-grooming.business.site/,-
All Paws Pet Grooming,+61 416 522 017,4.3,12,"Mordialloc VIC, Australia",http://www.allpawspetgrooming.com.au/,3195
Elegant Dog Grooming Service,+61 421 218 723,4.3,15,"Lalor VIC, Australia",http://www.elegantdog.com.au/,3075
DOGUE Williamstown,+61 3 9975 7443,4.6,49,"Willistown VIC, Australia",https://dogue.com.au/pet-shops/williamstown/,-
Fresh Pooch Mobile Dog Grooming,+61 404 962 812,5.0,3,--Not Provided--,https://www.instagram.com/invites/contact/?i=6vwo3fhtnshq&utm_content=mkstznc,-
Best Friends Pets Richmond,--Not Provided--,4.7,169,"Richmond VIC, Australia",https://www.bestfriendspets.com.au/store-locator/richmond?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gmb-website,3121
Urban Paws,--Not Provided--,4.7,152,"Yarraville VIC, Australia",http://www.urbanpaws.com.au/,3013
DOGUE Brighton,--Not Provided--,4.4,124,"Brighton VIC, Australia",https://dogue.com.au/pet-shops/brighton/,3186
Shaggy Tails Dog Grooming,+61 418 147 993,5.0,8,"Watsonia VIC, Australia",http://www.shaggytails.com.au/,3087
Big And Small Dog Grooming,+61 416 339 486,5.0,9,"Eaglemont VIC, Australia",https://www.facebook.com/bigandsmalldoggrooming64/,3084
Jim's Dog Wash,--Not Provided--,4.3,6,--Not Provided--,https://jimsdogwash.net.au/franchisees/west-footscray/,-
Big And Small Dog Grooming,+61 416 339 486,5.0,9,"Eaglemont VIC, Australia",https://www.facebook.com/bigandsmalldoggrooming64/,3084
