title,phone,rating,review,address,website,post_code
Pawdressers Dog Grooming,+61 429 901 504,5.0,82,"Darlinghurst NSW, Australia",http://www.pawdressers.com.au/,2010
Newtown Sakura la Dog Grooming Salon,+61 2 9557 4861,4.6,146,"Newtown NSW, Australia",http://www.sakuralagrooming.com/,3220
Flawless Paws Pet Grooming,+61 468 460 234,5.0,100,"Potts Point NSW, Australia",https://www.flawlesspaws.com.au/,2011
NOSE PET GROOMING Sydney,+61 2 8399 3138,4.8,39,"Surry Hills NSW, Australia",http://www.nosesyd.com/,2010
Spoilt Rotten Dogs,--Not Provided--,4.6,123,"Lilyfield NSW, Australia",https://www.spoiltrottendogs.com.au/,2040
Puppy Square,+61 416 922 345,4.7,75,"Queens Park NSW, Australia",http://www.puppysquare.com.au/,2022
Fuzzy Monsters Pet Boutique & Salon,+61 426 110 322,4.6,47,"Chippendale NSW, Australia",https://fuzzy-monsters-pet-boutique-salon.business.site/?utm_source=gmb&utm_medium=referral,2008
Hachi Sydney,+61 2 7202 9233,4.7,34,"Haymarket NSW, Australia",http://www.hachi-sydney.com.au/,2000
Hair of the Dog,+61 433 835 106,4.4,64,"Newtown NSW, Australia",https://www.hairofthedog.net.au/,3220
Pets On The Point,+61 2 9660 0011,4.7,199,"Glebe NSW, Australia",http://www.petsonthepoint.com.au/,2037
Pepper & Murphy's Dog Grooming Salon,+61 450 728 505,4.9,84,"Marrickville NSW, Australia",http://www.pepperandmurphys.com/,2204
SYDNEY DOG CLUB PTY LTD,+61 432 184 302,4.9,45,"Paddington NSW, Australia",http://www.thedogclub.com.au/,4064
Hot Dog Cool Cat Pet Salon,+61 2 9058 8566,4.5,78,"Erskineville NSW, Australia",http://www.hotdogcoolcat.com.au/,2043
Dainty Dog grooming salon,+61 414 889 128,4.0,99,"Bexley NSW, Australia",https://daintydog.com.au/,2207
Hills Grooming and Georgie's Play Park,+61 2 9688 6685,4.7,145,"Bella Vista NSW, Australia",http://www.hillsgrooming.com.au/,2153
Dog de Miow Potts Point,+61 404 127 576,4.8,53,"Potts Point NSW, Australia",http://www.dogdemiow.com.au/,2011
Darlo Dogs,--Not Provided--,4.8,116,"Darlinghurst NSW, Australia",http://www.darlodogs.com.au/,2010
Sparkling Paws Dog Grooming,+61 416 538 695,4.7,93,--Not Provided--,http://www.facebook.com/sparklingpaws,-
Bloomingtails,+61 1300 282 457,4.9,122,"Artarmon NSW, Australia",http://www.bloomingtailsgrooming.com.au/,1570
Puppy Avenue,+61 410 703 415,4.6,36,"Sydney Olympic Park NSW, Australia",https://www.instagram.com/puppyavenue_olypk/,2060
Bath to Bow Dog Groomer,+61 2 8021 7626,4.7,114,"Rosebery NSW, Australia",http://www.bathtobow.com.au/,2018
Orange Dogs,+61 468 711 775,4.6,25,"Lilyfield NSW, Australia",http://orangedogs.vpweb.com.au/,2040
Sunny Dogs Salon,+61 402 635 186,4.6,65,"Mascot NSW, Australia",http://sunnydogssalon.com.au/,2020
Doggy Splash,+61 2 7900 8057,4.6,71,"St Peters NSW, Australia",http://www.doggysplash.com.au/,3021
Maru Maru Pet Services,+61 2 9568 2088,4.7,118,"Stanmore NSW, Australia",http://www.marumarupets.com.au/,4514
PAWFECT DOGGY DAY SPA,+61 2 8592 6668,4.8,41,"Balmain NSW, Australia",http://www.pawfectdoggydayspa.com.au/,2041
Barker Ark,+61 2 8068 4286,4.8,85,"Waterloo NSW, Australia",http://www.barkerark.com.au/,2017
PatPal Dog Grooming,+61 432 173 330,4.7,67,"North Willoughby NSW, Australia",http://www.patpaldoggrooming.com/,3978
Drools Dog Grooming & Day Care,+61 2 9587 2574,4.8,63,"Kogarah NSW, Australia",http://www.droolsgrooming.com.au/,2217
Puppuccino Pet Spa Waterloo (Previous Pet Palette Studio),+61 2 8861 5725,4.6,44,"Waterloo NSW, Australia",https://www.puppuccino.com.au/,2017
Dogs Empire Grooming Service,+61 2 8021 7240,4.3,45,"Coogee NSW, Australia",http://dogsempire.com.au/,6166
Qpet Rosebery,+61 2 8313 8988,4.6,101,"Rosebery NSW, Australia",http://qpet.com.au/,2018
Lovely Pets Grooming Salon,+61 449 686 810,4.4,68,"Penshurst NSW, Australia",http://www.lovelypets.com.au/,2222
Happy Paws Pethouse Chatswood,+61 2 8959 0142,4.7,85,"Sydney NSW, Australia",https://happypawspethouse.com/,2060
A‎ Dapper Dog Grooming Parlour,+61 408 601 687,4.7,70,"Maroubra NSW, Australia",http://www.adapperdog.com.au/,2035
Dogs @ Play,--Not Provided--,4.6,155,"Surry Hills NSW, Australia",http://dogsplay.com.au/,2010
Inner West Dog Wash & Grooming,+61 412 173 883,4.9,29,"Petersh NSW, Australia",https://innerwestdogwash.com.au/,-
Pawsum,+61 1300 671 774,4.5,79,"Leichhardt NSW, Australia",http://pawsum.com.au/,4305
"Scruffy's Doggy Day Care, Grooming and Training",+61 2 9939 8899,4.7,65,"Brookvale NSW, Australia",https://www.scruffys.com.au/,2100
