title,phone,rating,review,address,website,post_code
title,phone,rating,review,address,website,-
Best Friend Dog Care,+61 401 615 437,5,43,--Not Provided--,https://bestfrienddogcare.com.au/,-
Sherlock Bones,+61 433 364 364,4.7,14,--Not Provided--,http://www.sherlockbones.com.au/,-
Advance Behavioural Training,+61 431 301 118,4.8,170,"Athol Park SA, Australia",http://www.advancebehaviouraltraining.com.au/,2560
Canine Connect,--Not Provided--,4.5,71,"Adelaide SA, Australia",http://www.canineconnect.com.au/,5006
Beyond Dogs,+61 435 311 535,5,22,"Plympton Park SA, Australia",https://www.beyonddogs.au/,5038
Simple Steps Dog Training Adelaide,--Not Provided--,5,10,--Not Provided--,http://www.simplestepsdogtraining.com/,-
Southern Districts Kennel and Obedience Dog Club,+61 8 8386 1933,4.7,83,"Goodwood SA, Australia",https://www.sdkodc.com/,7010
OzcorpK9,+61 404 752 187,4.8,51,--Not Provided--,http://www.ozcorpk9.com.au/,-
Northern Districts Kennel & Obedience Club,+61 8 8380 9866,4.4,23,"Elizabeth Downs SA, Australia",https://www.facebook.com/Northern-Districts-Kennel-and-Obedience-Club-Inc-176375715722638/,5112
Dog Knows Training and Behaviour Consulting,+61 414 446 878,5,5,--Not Provided--,http://www.dogknows.com.au/,-
Canine Behavioural School,+61 481 395 337,5,14,"Felixstow SA, Australia",https://www.caninebehaviouralschool.com.au/,5070
Puppy Matters Co,+61 410 959 673,5,22,--Not Provided--,http://www.puppymattersco.com.au/,-
Direct K9 Adelaide,+61 451 824 278,5,16,--Not Provided--,https://directk9.com.au/,-
Woodville Community Dog Training Centre Inc,+61 429 185 385,4,23,"Woodville South SA, Australia",http://woodvilledogtraining.com.au/,5011
Pawsitive Training,--Not Provided--,5,27,"Bowden SA, Australia",http://www.pawsitive-training.net/,5007
Forward Thinking Dog Training and Mobility,+61 491 757 837,5,6,--Not Provided--,http://www.forwardthinkingdogtraining.com.au/,-
Adelaide K9 Services,+61 413 067 769,5,9,"Walkerville SA, Australia",http://www.adelaidek9.com.au/,5081
South Australian Obedience Dog Club,+61 8 8223 6626,4.5,34,"South Parklands SA, Australia",https://www.saobediencedogclub.com.au/,3205
Denali Dog Training,+61 452 466 031,4.8,34,"Ridgehaven SA, Australia",https://denalidogtraining.com.au/,5097
Port Adelaide Obedience Dog Club Inc.,+61 408 854 990,4.4,14,--Not Provided--,http://www.paodc.com.au/,-
AlfaDog,+61 405 539 381,4.6,12,"Glenelg North SA, Australia",https://www.alfadog.com.au/,5045
Positive Dog Training,+61 418 886 698,3.5,22,--Not Provided--,http://positivedogtraining.com.au/,-
Noarlunga City Obedience Dog Club,+61 481 845 050,4.6,20,"Morphett Vale SA, Australia",http://noarlungadogclub.net/,5162
Canine Interaction,+61 432 247 999,5,11,"Croydon Park SA, Australia",https://canineinteraction.com.au/,3136
SuperDogs Positive Behavioural Training,--Not Provided--,4.3,7,--Not Provided--,https://www.superdogstraining.net/,-
Klever Kanine Dog Obedience School,+61 409 840 726,4.7,11,--Not Provided--,https://kleverkanine.com.au/,-
Dover Gardens Kennel & Obedience Club Inc.,+61 493 368 178,4.5,20,--Not Provided--,http://www.doverdog.org.au,-
Wolfpack Dog Training,+61 413 975 296,5,16,"Aberfoyle Park SA, Australia",http://www.wolfpackdogtraining.com/,5159
Dog Training Adelaide,+61 475 440 783,3.4,12,"Ingle Farm SA, Australia",https://dogtrainingadelaide.net.au/,5098
Puppy Partners,+61 408 089 555,5,16,"Ridgehaven SA, Australia",https://www.puppypartners.com.au/,5097
Bark Busters Home Dog Training Adelaide East & Hills,+61 1800 067 710,3.7,3,--Not Provided--,https://barkbusters.com.au/dog_trainers/sue-good/,-
Refreshing Paws Dog Training,+61 411 317 212,5,16,"Craigburn Farm SA, Australia",http://www.refreshingpawsdogtraining.com.au/,5051
Tails of Success: Dog Training,--Not Provided--,5,3,--Not Provided--,https://tailsofsuccess-dogtraining.com/,-
Canine Assist,+61 484 694 520,5,7,"Morphett Vale SA, Australia",http://www.canine-assist.com.au/,5162
German Shepherd Dog Club Of Sa Inc,+61 8 8353 7895,4.5,23,"West Beach SA, Australia",http://www.gsdcsa.org.au/,3003
Help At Hound,--Not Provided--,5,2,--Not Provided--,http://www.helpathound.com.au/,-
Dogwise Daycare,+61 452 101 029,5,83,"Cheltenham SA, Australia",http://www.dogwisedaycare.com.au/,3192
DOGS ETC,+61 404 464 793,4.6,13,--Not Provided--,http://www.dogsetc.com.au/,-
