title,phone,rating,review,address,website,post_code
Good Dog Behaviour & Training,+61 439 331 354,5.0,35,--Not Provided--,http://www.gooddogbehaviour.com.au/,-
Bark Busters Home Dog Training Melbourne North,+61 1800 067 710,5.0,164,--Not Provided--,https://barkbusters.com.au/dog_trainers/stefanie-budiman/,-
K-9iQ,--Not Provided--,4.9,176,"Melbourne VIC, Australia",http://www.k-9iq.com/?utm_source=google&utm_medium=local,3002
Good Dog Training Tips,+61 400 508 944,4.9,28,--Not Provided--,https://gooddogtrainingtips.com/,-
Pet Pursuits Dog Training,+61 408 058 886,5.0,66,--Not Provided--,http://www.petpursuits.com.au/,-
Melanie Scott K9 Training,+61 448 395 797,5.0,44,"Melbourne VIC, Australia",http://www.melaniescottk9training.com/,3002
Underdog Training and Behaviour Consulting,+61 402 112 105,4.7,29,"Melbourne VIC, Australia",http://www.underdogtraining.com.au/,3002
Positive K9 Training,+61 409 759 759,4.9,188,"Balwyn North VIC, Australia",https://positivek9training.com.au/,3103
The Art of Dog Training,+61 403 000 122,5.0,69,"South Yarra VIC, Australia",http://www.theartofdogtraining.com.au/,3205
Laura Mundy DOG TRAINING,+61 412 732 771,5.0,22,--Not Provided--,http://lauramundydogtraining.com.au/,-
Dale For Dogs,+61 403 512 189,4.9,48,--Not Provided--,https://dalefordogs.com.au/,-
Sankiri Dog Training,+61 401 634 392,4.8,69,--Not Provided--,http://www.sankiridogtraining.com.au/,-
Melbourne Dog Trainers,+61 3 8609 9700,4.6,27,"Ormond VIC, Australia",https://melbournedogtrainers.com.au/,3204
Ian The Dog Trainer,+61 408 374 444,4.2,46,--Not Provided--,http://www.ianthedogtrainer.com.au/,-
SitDropStay Melbourne,+61 1300 306 887,5.0,155,"Reservoir VIC, Australia",http://www.sitdropstay.com/dog-training-melbourne/,3073
Command Dog Training School,+61 3 9877 6522,4.6,86,"Blackburn VIC, Australia",https://www.dogtraining.com.au/,3130
Dog Tales Puppy & Dog Training,+61 424 186 377,5.0,22,--Not Provided--,http://www.dogtalestraining.co/,-
The Dog Training Co,+61 434 231 672,5.0,22,--Not Provided--,http://www.thedogtrainingco.com.au/,-
Zenergy K9 Training Co,+61 497 538 665,4.9,45,--Not Provided--,http://www.zenergyk9.com.au/,-
DogzWalkabout Training,+61 408 127 785,5.0,24,--Not Provided--,http://www.dogzwalkabout.com/,-
Tom's Dog Training,+61 476 157 746,5.0,33,--Not Provided--,http://www.tomsdogtraining.com.au/,-
Four Paws K9 Training,+61 412 523 998,4.8,55,"Sunshine West VIC, Australia",http://www.fourpawsk9training.com.au/,3020
Secret Dogs Business,+61 1300 223 364,4.7,22,"Cheltenh VIC, Australia",http://secretdogsbusiness.com.au/,-
Dogs With Attitude,--Not Provided--,5.0,76,--Not Provided--,https://dogswithattitude.com.au/,-
Reservoir Dogs Melbourne,+61 415 653 364,5.0,29,"Northcote VIC, Australia",http://www.reservoirdogsmelbourne.com.au/,3070
