title,phone,rating,review,address,website,post_code
K9 Trainer,+61 406 873 308,4.8,235,--Not Provided--,https://www.k9trainer.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,-
Mutts with Manners,+61 410 626 677,4.8,83,"Glebe NSW, Australia",http://www.muttswithmanners.com.au/,2037
Eastern Suburbs Dog Training,+61 404 331 741,5.0,232,--Not Provided--,http://www.easternsuburbsdogtraining.com.au/,-
The Sydney Dog Trainer,+61 490 545 437,5.0,48,--Not Provided--,https://www.thesydneydogtrainer.com.au/,-
The Dog Brigade,+61 405 534 034,5.0,98,"Sydney NSW, Australia",https://www.thedogbrigade.com.au/,2060
"Polite Paws Dog Training, Puppy Preschool, Manners Classes & Behaviour Modification",+61 432 633 250,4.6,65,"Bexley NSW, Australia",http://www.politepaws.com.au/,2207
Canine Counselling,+61 448 599 663,5.0,154,--Not Provided--,https://www.k9counselling.com.au/,-
Eazy Dog Training,+61 404 022 114,4.8,166,--Not Provided--,https://eazydogtraining.com/,-
Pet Professor - Dog Training Sydney,+61 433 612 059,5.0,21,--Not Provided--,https://www.petprofessor.com.au/,-
Bark Busters Inner West Sydney,+61 1800 067 710,5.0,47,--Not Provided--,https://barkbusters.com.au/dog-training-inner-west-sydney,-
DogTech,+61 2 8018 5200,4.3,80,"Hurlstone Park NSW, Australia",https://dogtech.com.au/,2193
Rejoice Dogs Team,+61 452 506 357,4.7,79,--Not Provided--,https://rejoicedogsteam.com.au/,-
Dog Behaviour Specialist,+61 422 528 600,4.4,182,"Norwest NSW, Australia",http://www.dogbehaviourspecialist.com.au/,-
Witty Woofs - Force Free Games Based Dog Behaviour and Training,--Not Provided--,5.0,22,--Not Provided--,http://www.wittywoofs.com/,-
Bondi Behaviourist,+61 2 9130 2415,5.0,71,--Not Provided--,https://www.bondibehaviourist.com/,-
Kizuna Canine: Southern Sydney Dog Training,--Not Provided--,5.0,27,--Not Provided--,http://www.kizunacanine.com/,-
Bark Busters Eastern Suburbs & Sydney Southern,+61 416 015 589,5.0,183,--Not Provided--,https://www.barkbusters.com.au/dog-training-sydney-southern,-
Paws And Think Animal Training,+61 415 314 970,5.0,32,"St Peters NSW, Australia",http://www.pawsandthink.com.au/,3021
Guard Dog Training Centre,+61 2 4572 5338,4.5,559,"Berkshire Park NSW, Australia",https://www.guarddogtraining.com.au/,2765
Paws & Train,+61 402 543 945,5.0,36,--Not Provided--,http://pawsandtrain.com.au/,-
so help me dog,+61 434 088 150,5.0,34,"Bondi Junction NSW, Australia",http://www.sohelpmedog.net/,2026
Kizuna Canine: Southern Sydney Dog Training,--Not Provided--,5.0,27,--Not Provided--,http://www.kizunacanine.com/,-
Mali The Dog Trainer,+61 408 606 967,5.0,45,"Castlecrag NSW, Australia",http://www.malithedogtrainer.com.au/,2068
Dog's Natural Ability,+61 411 556 634,5.0,62,--Not Provided--,https://dogsnaturalability.com.au/,-
H & C Dog Training,+61 422 264 049,5.0,23,--Not Provided--,https://www.handcdogtraining.com.au/,-
Dog Behaviour Specialist,+61 422 528 600,4.4,182,"Norwest NSW, Australia",http://www.dogbehaviourspecialist.com.au/,-
Speak Dog - Positive Dog Training Sydney,+61 450 461 210,5.0,13,"Annandale NSW, Australia",http://www.speakdog.com.au/,2038
dogLOGIC,+61 419 999 975,4.9,55,"Lewish NSW, Australia",http://doglogic.com.au/,-
Working with Woofers Pty Ltd,+61 421 416 281,5.0,31,--Not Provided--,https://www.workingwithwoofers.com/,-
Happy Funny Paws,+61 424 232 721,5.0,25,--Not Provided--,https://www.happyfunnypaws.com/,-
Sophia Gillis - Dog Behaviourist,+61 423 411 336,5.0,17,--Not Provided--,http://sophiagillisdogbehaviourist.com.au/?utm_source=gmb&utm_medium=referral,-
Sydney All Breeds Dog Training Club,+61 2 0227 2238,4.7,18,"Concord NSW, Australia",http://www.sabdtc.com/membership/,2138
Affinity Dog Training & Behaviour Modification,+61 412 258 203,4.9,19,"Kellyville Ridge NSW, Australia",http://www.affinitydog.com.au/,2155
See Spot Run,+61 405 291 339,4.7,26,"Willoughby NSW, Australia",http://seespotrun.com.au/,2068
Chasing tails dog training,+61 456 268 547,5.0,27,--Not Provided--,http://www.chasingtailsdogtraining.com.au/,-
Guard Dog Training Centre,+61 2 4572 5338,4.5,559,"Berkshire Park NSW, Australia",https://www.guarddogtraining.com.au/,2765
Training Mutts - Where Anything is Pawsible Dog Training,+61 423 105 395,5.0,11,--Not Provided--,https://www.trainingmutts.au/,-
K9Fun - Dog Training & Behaviour,+61 424 293 692,4.9,18,--Not Provided--,http://www.k9fun.com.au/,-
Balanced Pack - Doggy Daycare and Behavioural Dog Training,+61 452 565 629,4.5,21,--Not Provided--,https://www.balancedpack.com.au/,-
Barking Mad Dogs walking and training,+61 400 388 199,5.0,13,"Matraville NSW, Australia",http://www.barkingmaddogs.com.au/,2036
The Successful Hound,+61 403 763 535,5.0,15,"North Sydney NSW, Australia",http://www.thesuccessfulhound.com.au/,3978
Jenny Harlow Dog Training,+61 419 535 236,5.0,7,--Not Provided--,https://jhdogtraining.com.au/,-
